"STATION","DATE","DLY-DUTR-NORMAL","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"PSW00040309","01-01","11.4","82.6","88.3","76.9"
"PSW00040309","01-02","11.4","82.6","88.3","76.9"
"PSW00040309","01-03","11.4","82.6","88.3","76.8"
"PSW00040309","01-04","11.5","82.6","88.3","76.8"
"PSW00040309","01-05","11.5","82.5","88.3","76.8"
"PSW00040309","01-06","11.5","82.5","88.3","76.8"
"PSW00040309","01-07","11.5","82.5","88.3","76.8"
"PSW00040309","01-08","11.5","82.5","88.3","76.8"
"PSW00040309","01-09","11.5","82.5","88.3","76.7"
"PSW00040309","01-10","11.6","82.5","88.3","76.7"
"PSW00040309","01-11","11.6","82.5","88.3","76.7"
"PSW00040309","01-12","11.6","82.5","88.3","76.7"
"PSW00040309","01-13","11.6","82.5","88.3","76.7"
"PSW00040309","01-14","11.6","82.5","88.3","76.7"
"PSW00040309","01-15","11.6","82.4","88.2","76.6"
"PSW00040309","01-16","11.6","82.4","88.2","76.6"
"PSW00040309","01-17","11.6","82.4","88.2","76.6"
"PSW00040309","01-18","11.6","82.4","88.2","76.6"
"PSW00040309","01-19","11.6","82.4","88.2","76.5"
"PSW00040309","01-20","11.7","82.4","88.2","76.5"
"PSW00040309","01-21","11.7","82.3","88.2","76.5"
"PSW00040309","01-22","11.7","82.3","88.2","76.5"
"PSW00040309","01-23","11.7","82.3","88.1","76.5"
"PSW00040309","01-24","11.7","82.3","88.1","76.4"
"PSW00040309","01-25","11.7","82.3","88.1","76.4"
"PSW00040309","01-26","11.7","82.2","88.1","76.4"
"PSW00040309","01-27","11.7","82.2","88.1","76.4"
"PSW00040309","01-28","11.7","82.2","88.1","76.4"
"PSW00040309","01-29","11.7","82.2","88.0","76.3"
"PSW00040309","01-30","11.7","82.2","88.0","76.3"
"PSW00040309","01-31","11.7","82.2","88.0","76.3"
"PSW00040309","02-01","11.7","82.1","88.0","76.3"
"PSW00040309","02-02","11.7","82.1","88.0","76.3"
"PSW00040309","02-03","11.7","82.1","88.0","76.2"
"PSW00040309","02-04","11.7","82.1","88.0","76.2"
"PSW00040309","02-05","11.7","82.1","88.0","76.2"
"PSW00040309","02-06","11.8","82.1","87.9","76.2"
"PSW00040309","02-07","11.8","82.1","87.9","76.2"
"PSW00040309","02-08","11.8","82.0","87.9","76.2"
"PSW00040309","02-09","11.8","82.0","87.9","76.1"
"PSW00040309","02-10","11.8","82.0","87.9","76.1"
"PSW00040309","02-11","11.8","82.0","87.9","76.1"
"PSW00040309","02-12","11.8","82.0","87.9","76.1"
"PSW00040309","02-13","11.8","82.0","87.9","76.1"
"PSW00040309","02-14","11.9","82.0","87.9","76.1"
"PSW00040309","02-15","11.9","82.0","87.9","76.1"
"PSW00040309","02-16","11.9","82.0","87.9","76.1"
"PSW00040309","02-17","11.9","82.0","88.0","76.0"
"PSW00040309","02-18","11.9","82.0","88.0","76.0"
"PSW00040309","02-19","12.0","82.0","88.0","76.0"
"PSW00040309","02-20","12.0","82.0","88.0","76.0"
"PSW00040309","02-21","12.0","82.0","88.0","76.0"
"PSW00040309","02-22","12.0","82.0","88.1","76.0"
"PSW00040309","02-23","12.1","82.0","88.1","76.0"
"PSW00040309","02-24","12.1","82.1","88.1","76.0"
"PSW00040309","02-25","12.1","82.1","88.1","76.0"
"PSW00040309","02-26","12.1","82.1","88.2","76.0"
"PSW00040309","02-27","12.2","82.1","88.2","76.0"
"PSW00040309","02-28","12.2","82.1","88.2","76.0"
"PSW00040309","02-29","12.2","82.1","88.2","76.0"
"PSW00040309","03-01","12.2","82.1","88.3","76.0"
"PSW00040309","03-02","12.2","82.2","88.3","76.0"
"PSW00040309","03-03","12.3","82.2","88.3","76.1"
"PSW00040309","03-04","12.3","82.2","88.4","76.1"
"PSW00040309","03-05","12.3","82.2","88.4","76.1"
"PSW00040309","03-06","12.4","82.3","88.4","76.1"
"PSW00040309","03-07","12.4","82.3","88.5","76.1"
"PSW00040309","03-08","12.4","82.3","88.5","76.1"
"PSW00040309","03-09","12.4","82.4","88.6","76.1"
"PSW00040309","03-10","12.5","82.4","88.6","76.2"
"PSW00040309","03-11","12.5","82.4","88.6","76.2"
"PSW00040309","03-12","12.5","82.4","88.7","76.2"
"PSW00040309","03-13","12.5","82.5","88.7","76.2"
"PSW00040309","03-14","12.5","82.5","88.8","76.2"
"PSW00040309","03-15","12.5","82.5","88.8","76.3"
"PSW00040309","03-16","12.6","82.6","88.8","76.3"
"PSW00040309","03-17","12.6","82.6","88.9","76.3"
"PSW00040309","03-18","12.6","82.6","88.9","76.3"
"PSW00040309","03-19","12.6","82.6","88.9","76.3"
"PSW00040309","03-20","12.6","82.7","89.0","76.4"
"PSW00040309","03-21","12.6","82.7","89.0","76.4"
"PSW00040309","03-22","12.6","82.7","89.0","76.4"
"PSW00040309","03-23","12.6","82.8","89.1","76.4"
"PSW00040309","03-24","12.6","82.8","89.1","76.5"
"PSW00040309","03-25","12.6","82.8","89.1","76.5"
"PSW00040309","03-26","12.6","82.8","89.1","76.5"
"PSW00040309","03-27","12.6","82.9","89.2","76.5"
"PSW00040309","03-28","12.6","82.9","89.2","76.6"
"PSW00040309","03-29","12.6","82.9","89.2","76.6"
"PSW00040309","03-30","12.6","82.9","89.2","76.6"
"PSW00040309","03-31","12.6","82.9","89.2","76.6"
"PSW00040309","04-01","12.6","82.9","89.2","76.7"
"PSW00040309","04-02","12.6","83.0","89.2","76.7"
"PSW00040309","04-03","12.5","83.0","89.2","76.7"
"PSW00040309","04-04","12.5","83.0","89.3","76.7"
"PSW00040309","04-05","12.5","83.0","89.3","76.7"
"PSW00040309","04-06","12.5","83.0","89.3","76.8"
"PSW00040309","04-07","12.5","83.0","89.3","76.8"
"PSW00040309","04-08","12.5","83.0","89.3","76.8"
"PSW00040309","04-09","12.4","83.0","89.3","76.8"
"PSW00040309","04-10","12.4","83.0","89.3","76.8"
"PSW00040309","04-11","12.4","83.1","89.3","76.9"
"PSW00040309","04-12","12.4","83.1","89.2","76.9"
"PSW00040309","04-13","12.4","83.1","89.2","76.9"
"PSW00040309","04-14","12.3","83.1","89.2","76.9"
"PSW00040309","04-15","12.3","83.1","89.2","76.9"
"PSW00040309","04-16","12.3","83.1","89.2","76.9"
"PSW00040309","04-17","12.3","83.1","89.2","76.9"
"PSW00040309","04-18","12.2","83.1","89.2","77.0"
"PSW00040309","04-19","12.2","83.1","89.2","77.0"
"PSW00040309","04-20","12.2","83.1","89.2","77.0"
"PSW00040309","04-21","12.2","83.1","89.2","77.0"
"PSW00040309","04-22","12.2","83.1","89.2","77.0"
"PSW00040309","04-23","12.1","83.1","89.2","77.0"
"PSW00040309","04-24","12.1","83.1","89.1","77.0"
"PSW00040309","04-25","12.1","83.1","89.1","77.0"
"PSW00040309","04-26","12.1","83.1","89.1","77.0"
"PSW00040309","04-27","12.1","83.1","89.1","77.0"
"PSW00040309","04-28","12.1","83.1","89.1","77.0"
"PSW00040309","04-29","12.0","83.1","89.1","77.1"
"PSW00040309","04-30","12.0","83.1","89.1","77.1"
"PSW00040309","05-01","12.0","83.1","89.1","77.1"
"PSW00040309","05-02","12.0","83.1","89.1","77.1"
"PSW00040309","05-03","12.0","83.1","89.1","77.1"
"PSW00040309","05-04","12.0","83.1","89.1","77.1"
"PSW00040309","05-05","12.0","83.1","89.1","77.1"
"PSW00040309","05-06","11.9","83.1","89.0","77.1"
"PSW00040309","05-07","11.9","83.1","89.0","77.1"
"PSW00040309","05-08","11.9","83.1","89.0","77.1"
"PSW00040309","05-09","11.9","83.1","89.0","77.1"
"PSW00040309","05-10","11.9","83.1","89.0","77.1"
"PSW00040309","05-11","11.9","83.1","89.0","77.1"
"PSW00040309","05-12","11.9","83.1","89.0","77.1"
"PSW00040309","05-13","11.9","83.1","89.0","77.1"
"PSW00040309","05-14","11.9","83.1","89.0","77.1"
"PSW00040309","05-15","11.9","83.1","89.0","77.1"
"PSW00040309","05-16","11.9","83.1","89.0","77.1"
"PSW00040309","05-17","11.9","83.1","89.0","77.1"
"PSW00040309","05-18","11.9","83.1","89.0","77.1"
"PSW00040309","05-19","11.9","83.1","89.0","77.1"
"PSW00040309","05-20","11.9","83.1","89.0","77.1"
"PSW00040309","05-21","11.9","83.1","89.0","77.1"
"PSW00040309","05-22","11.9","83.0","89.0","77.1"
"PSW00040309","05-23","11.9","83.0","89.0","77.1"
"PSW00040309","05-24","11.9","83.0","89.0","77.1"
"PSW00040309","05-25","11.9","83.0","89.0","77.1"
"PSW00040309","05-26","11.9","83.0","89.0","77.1"
"PSW00040309","05-27","11.9","83.0","88.9","77.1"
"PSW00040309","05-28","11.9","83.0","88.9","77.0"
"PSW00040309","05-29","11.9","83.0","88.9","77.0"
"PSW00040309","05-30","11.9","83.0","88.9","77.0"
"PSW00040309","05-31","11.9","82.9","88.9","77.0"
"PSW00040309","06-01","11.9","82.9","88.9","77.0"
"PSW00040309","06-02","11.9","82.9","88.9","77.0"
"PSW00040309","06-03","11.9","82.9","88.8","76.9"
"PSW00040309","06-04","11.9","82.9","88.8","76.9"
"PSW00040309","06-05","11.9","82.8","88.8","76.9"
"PSW00040309","06-06","11.9","82.8","88.8","76.9"
"PSW00040309","06-07","11.9","82.8","88.7","76.8"
"PSW00040309","06-08","11.9","82.8","88.7","76.8"
"PSW00040309","06-09","11.9","82.7","88.7","76.8"
"PSW00040309","06-10","11.9","82.7","88.7","76.7"
"PSW00040309","06-11","11.9","82.7","88.6","76.7"
"PSW00040309","06-12","11.9","82.6","88.6","76.7"
"PSW00040309","06-13","11.9","82.6","88.5","76.7"
"PSW00040309","06-14","11.9","82.6","88.5","76.6"
"PSW00040309","06-15","11.9","82.5","88.5","76.6"
"PSW00040309","06-16","11.9","82.5","88.4","76.6"
"PSW00040309","06-17","11.8","82.5","88.4","76.5"
"PSW00040309","06-18","11.8","82.4","88.3","76.5"
"PSW00040309","06-19","11.8","82.4","88.3","76.5"
"PSW00040309","06-20","11.8","82.4","88.3","76.5"
"PSW00040309","06-21","11.8","82.3","88.2","76.4"
"PSW00040309","06-22","11.7","82.3","88.2","76.4"
"PSW00040309","06-23","11.7","82.3","88.1","76.4"
"PSW00040309","06-24","11.7","82.2","88.1","76.4"
"PSW00040309","06-25","11.7","82.2","88.0","76.3"
"PSW00040309","06-26","11.6","82.1","88.0","76.3"
"PSW00040309","06-27","11.6","82.1","87.9","76.3"
"PSW00040309","06-28","11.6","82.1","87.9","76.3"
"PSW00040309","06-29","11.5","82.0","87.8","76.3"
"PSW00040309","06-30","11.5","82.0","87.8","76.3"
"PSW00040309","07-01","11.4","82.0","87.7","76.3"
"PSW00040309","07-02","11.4","82.0","87.6","76.3"
"PSW00040309","07-03","11.3","81.9","87.6","76.3"
"PSW00040309","07-04","11.3","81.9","87.5","76.3"
"PSW00040309","07-05","11.2","81.9","87.5","76.3"
"PSW00040309","07-06","11.2","81.8","87.4","76.3"
"PSW00040309","07-07","11.1","81.8","87.4","76.3"
"PSW00040309","07-08","11.1","81.8","87.3","76.3"
"PSW00040309","07-09","11.0","81.8","87.3","76.3"
"PSW00040309","07-10","11.0","81.8","87.3","76.3"
"PSW00040309","07-11","10.9","81.8","87.2","76.3"
"PSW00040309","07-12","10.9","81.7","87.2","76.3"
"PSW00040309","07-13","10.8","81.7","87.1","76.3"
"PSW00040309","07-14","10.8","81.7","87.1","76.3"
"PSW00040309","07-15","10.7","81.7","87.1","76.3"
"PSW00040309","07-16","10.7","81.7","87.0","76.4"
"PSW00040309","07-17","10.6","81.7","87.0","76.4"
"PSW00040309","07-18","10.6","81.7","87.0","76.4"
"PSW00040309","07-19","10.5","81.7","86.9","76.4"
"PSW00040309","07-20","10.5","81.7","86.9","76.4"
"PSW00040309","07-21","10.4","81.7","86.9","76.5"
"PSW00040309","07-22","10.4","81.7","86.9","76.5"
"PSW00040309","07-23","10.3","81.7","86.8","76.5"
"PSW00040309","07-24","10.3","81.7","86.8","76.5"
"PSW00040309","07-25","10.3","81.7","86.8","76.5"
"PSW00040309","07-26","10.2","81.7","86.8","76.6"
"PSW00040309","07-27","10.2","81.7","86.8","76.6"
"PSW00040309","07-28","10.2","81.7","86.8","76.6"
"PSW00040309","07-29","10.2","81.7","86.8","76.6"
"PSW00040309","07-30","10.1","81.7","86.8","76.6"
"PSW00040309","07-31","10.1","81.7","86.8","76.6"
"PSW00040309","08-01","10.1","81.7","86.8","76.7"
"PSW00040309","08-02","10.1","81.7","86.8","76.7"
"PSW00040309","08-03","10.1","81.7","86.8","76.7"
"PSW00040309","08-04","10.1","81.7","86.8","76.7"
"PSW00040309","08-05","10.1","81.7","86.8","76.7"
"PSW00040309","08-06","10.1","81.8","86.8","76.7"
"PSW00040309","08-07","10.1","81.8","86.8","76.7"
"PSW00040309","08-08","10.2","81.8","86.8","76.7"
"PSW00040309","08-09","10.2","81.8","86.9","76.7"
"PSW00040309","08-10","10.2","81.8","86.9","76.7"
"PSW00040309","08-11","10.2","81.8","86.9","76.7"
"PSW00040309","08-12","10.2","81.8","86.9","76.7"
"PSW00040309","08-13","10.3","81.8","86.9","76.7"
"PSW00040309","08-14","10.3","81.8","87.0","76.7"
"PSW00040309","08-15","10.3","81.8","87.0","76.6"
"PSW00040309","08-16","10.4","81.8","87.0","76.6"
"PSW00040309","08-17","10.4","81.8","87.0","76.6"
"PSW00040309","08-18","10.4","81.8","87.0","76.6"
"PSW00040309","08-19","10.5","81.8","87.1","76.6"
"PSW00040309","08-20","10.5","81.8","87.1","76.6"
"PSW00040309","08-21","10.5","81.8","87.1","76.6"
"PSW00040309","08-22","10.6","81.8","87.1","76.5"
"PSW00040309","08-23","10.6","81.8","87.1","76.5"
"PSW00040309","08-24","10.6","81.8","87.1","76.5"
"PSW00040309","08-25","10.7","81.8","87.2","76.5"
"PSW00040309","08-26","10.7","81.8","87.2","76.5"
"PSW00040309","08-27","10.7","81.8","87.2","76.5"
"PSW00040309","08-28","10.7","81.8","87.2","76.5"
"PSW00040309","08-29","10.8","81.8","87.2","76.5"
"PSW00040309","08-30","10.8","81.8","87.2","76.4"
"PSW00040309","08-31","10.8","81.8","87.2","76.4"
"PSW00040309","09-01","10.8","81.8","87.3","76.4"
"PSW00040309","09-02","10.8","81.8","87.3","76.4"
"PSW00040309","09-03","10.9","81.8","87.3","76.4"
"PSW00040309","09-04","10.9","81.8","87.3","76.4"
"PSW00040309","09-05","10.9","81.8","87.3","76.4"
"PSW00040309","09-06","10.9","81.9","87.3","76.4"
"PSW00040309","09-07","10.9","81.9","87.3","76.4"
"PSW00040309","09-08","10.9","81.9","87.3","76.4"
"PSW00040309","09-09","10.9","81.9","87.3","76.4"
"PSW00040309","09-10","10.9","81.9","87.3","76.4"
"PSW00040309","09-11","10.8","81.9","87.3","76.5"
"PSW00040309","09-12","10.8","81.9","87.3","76.5"
"PSW00040309","09-13","10.8","81.9","87.3","76.5"
"PSW00040309","09-14","10.8","81.9","87.3","76.5"
"PSW00040309","09-15","10.8","81.9","87.3","76.5"
"PSW00040309","09-16","10.7","81.9","87.3","76.6"
"PSW00040309","09-17","10.7","81.9","87.3","76.6"
"PSW00040309","09-18","10.7","81.9","87.3","76.6"
"PSW00040309","09-19","10.7","82.0","87.3","76.6"
"PSW00040309","09-20","10.6","82.0","87.3","76.7"
"PSW00040309","09-21","10.6","82.0","87.3","76.7"
"PSW00040309","09-22","10.6","82.0","87.3","76.7"
"PSW00040309","09-23","10.6","82.0","87.3","76.7"
"PSW00040309","09-24","10.5","82.0","87.3","76.8"
"PSW00040309","09-25","10.5","82.1","87.3","76.8"
"PSW00040309","09-26","10.5","82.1","87.3","76.8"
"PSW00040309","09-27","10.4","82.1","87.3","76.9"
"PSW00040309","09-28","10.4","82.1","87.3","76.9"
"PSW00040309","09-29","10.4","82.1","87.3","76.9"
"PSW00040309","09-30","10.4","82.2","87.4","77.0"
"PSW00040309","10-01","10.4","82.2","87.4","77.0"
"PSW00040309","10-02","10.4","82.2","87.4","77.0"
"PSW00040309","10-03","10.3","82.2","87.4","77.1"
"PSW00040309","10-04","10.3","82.3","87.4","77.1"
"PSW00040309","10-05","10.3","82.3","87.4","77.1"
"PSW00040309","10-06","10.3","82.3","87.5","77.1"
"PSW00040309","10-07","10.3","82.3","87.5","77.2"
"PSW00040309","10-08","10.3","82.4","87.5","77.2"
"PSW00040309","10-09","10.3","82.4","87.5","77.2"
"PSW00040309","10-10","10.4","82.4","87.6","77.2"
"PSW00040309","10-11","10.4","82.4","87.6","77.2"
"PSW00040309","10-12","10.4","82.4","87.6","77.2"
"PSW00040309","10-13","10.4","82.5","87.7","77.3"
"PSW00040309","10-14","10.4","82.5","87.7","77.3"
"PSW00040309","10-15","10.5","82.5","87.7","77.3"
"PSW00040309","10-16","10.5","82.5","87.8","77.3"
"PSW00040309","10-17","10.5","82.5","87.8","77.3"
"PSW00040309","10-18","10.6","82.6","87.8","77.3"
"PSW00040309","10-19","10.6","82.6","87.9","77.3"
"PSW00040309","10-20","10.6","82.6","87.9","77.3"
"PSW00040309","10-21","10.7","82.6","88.0","77.3"
"PSW00040309","10-22","10.7","82.6","88.0","77.3"
"PSW00040309","10-23","10.8","82.6","88.0","77.3"
"PSW00040309","10-24","10.8","82.7","88.1","77.2"
"PSW00040309","10-25","10.9","82.7","88.1","77.2"
"PSW00040309","10-26","10.9","82.7","88.1","77.2"
"PSW00040309","10-27","11.0","82.7","88.2","77.2"
"PSW00040309","10-28","11.0","82.7","88.2","77.2"
"PSW00040309","10-29","11.1","82.7","88.3","77.2"
"PSW00040309","10-30","11.1","82.7","88.3","77.1"
"PSW00040309","10-31","11.2","82.7","88.3","77.1"
"PSW00040309","11-01","11.2","82.7","88.3","77.1"
"PSW00040309","11-02","11.3","82.7","88.4","77.1"
"PSW00040309","11-03","11.3","82.7","88.4","77.1"
"PSW00040309","11-04","11.4","82.7","88.4","77.0"
"PSW00040309","11-05","11.4","82.7","88.4","77.0"
"PSW00040309","11-06","11.5","82.7","88.5","77.0"
"PSW00040309","11-07","11.5","82.7","88.5","77.0"
"PSW00040309","11-08","11.5","82.7","88.5","77.0"
"PSW00040309","11-09","11.6","82.7","88.5","77.0"
"PSW00040309","11-10","11.6","82.7","88.5","76.9"
"PSW00040309","11-11","11.6","82.7","88.5","76.9"
"PSW00040309","11-12","11.6","82.7","88.6","76.9"
"PSW00040309","11-13","11.7","82.7","88.6","76.9"
"PSW00040309","11-14","11.7","82.7","88.6","76.9"
"PSW00040309","11-15","11.7","82.7","88.6","76.9"
"PSW00040309","11-16","11.7","82.7","88.6","76.9"
"PSW00040309","11-17","11.7","82.7","88.6","76.8"
"PSW00040309","11-18","11.7","82.7","88.6","76.8"
"PSW00040309","11-19","11.7","82.7","88.6","76.8"
"PSW00040309","11-20","11.7","82.7","88.6","76.8"
"PSW00040309","11-21","11.7","82.7","88.5","76.8"
"PSW00040309","11-22","11.7","82.7","88.5","76.8"
"PSW00040309","11-23","11.7","82.7","88.5","76.8"
"PSW00040309","11-24","11.7","82.7","88.5","76.8"
"PSW00040309","11-25","11.7","82.7","88.5","76.8"
"PSW00040309","11-26","11.7","82.7","88.5","76.8"
"PSW00040309","11-27","11.7","82.6","88.5","76.8"
"PSW00040309","11-28","11.6","82.6","88.5","76.8"
"PSW00040309","11-29","11.6","82.6","88.4","76.8"
"PSW00040309","11-30","11.6","82.6","88.4","76.8"
"PSW00040309","12-01","11.6","82.6","88.4","76.8"
"PSW00040309","12-02","11.6","82.6","88.4","76.8"
"PSW00040309","12-03","11.5","82.6","88.4","76.8"
"PSW00040309","12-04","11.5","82.6","88.4","76.9"
"PSW00040309","12-05","11.5","82.6","88.4","76.9"
"PSW00040309","12-06","11.5","82.6","88.4","76.9"
"PSW00040309","12-07","11.5","82.6","88.3","76.9"
"PSW00040309","12-08","11.4","82.6","88.3","76.9"
"PSW00040309","12-09","11.4","82.6","88.3","76.9"
"PSW00040309","12-10","11.4","82.6","88.3","76.9"
"PSW00040309","12-11","11.4","82.6","88.3","76.9"
"PSW00040309","12-12","11.4","82.6","88.3","76.9"
"PSW00040309","12-13","11.4","82.6","88.3","76.9"
"PSW00040309","12-14","11.4","82.6","88.3","76.9"
"PSW00040309","12-15","11.3","82.6","88.3","76.9"
"PSW00040309","12-16","11.3","82.6","88.3","76.9"
"PSW00040309","12-17","11.3","82.6","88.3","76.9"
"PSW00040309","12-18","11.3","82.6","88.3","76.9"
"PSW00040309","12-19","11.3","82.6","88.3","76.9"
"PSW00040309","12-20","11.3","82.6","88.3","76.9"
"PSW00040309","12-21","11.3","82.6","88.3","76.9"
"PSW00040309","12-22","11.3","82.6","88.3","76.9"
"PSW00040309","12-23","11.3","82.6","88.3","76.9"
"PSW00040309","12-24","11.3","82.6","88.3","76.9"
"PSW00040309","12-25","11.3","82.6","88.3","76.9"
"PSW00040309","12-26","11.4","82.6","88.3","76.9"
"PSW00040309","12-27","11.4","82.6","88.3","76.9"
"PSW00040309","12-28","11.4","82.6","88.3","76.9"
"PSW00040309","12-29","11.4","82.6","88.3","76.9"
"PSW00040309","12-30","11.4","82.6","88.3","76.9"
"PSW00040309","12-31","11.4","82.6","88.3","76.9"
